Pass/Fail,Property ID,True/False,Outcome,Outcome Description,Instances
FAIL,01_AKM_BUCKETS_SHOULD_LOG,FALSE,SAT/+,There exist at least one S3::Buckets that certainly does not keep logs,(dietsmarts_cloud_roots3bucket - dietsmarts_cloud_s3bucket)
PASS,02_AKM_NO_BUCKETS_STORING_OWN_LOGS,TRUE,UNSAT,All S3::Buckets declared in this template do not store their own logs,N/A
PASS,03_AKM_BUCKET_STORING_LOGS_NOT_PUBLIC,TRUE,UNSAT,No bucket that store logs and is public can be found,N/A
FAIL,04_AKM_BUCKETS_ENCRYPTED,FALSE,SAT/+,There are S3::Buckets - declared in this template - that are not encrypted,(dietsmarts_cloud_roots3bucket - dietsmarts_cloud_s3bucket)
PASS,05_AKM_BUCKET_NOT_PUBLIC_UNLESS_WEBSITE_OR_CORS,TRUE,UNSAT,No bucket that does not host a website or allow CORS and is public can be found,N/A
PASS,06_AKM_CRITICAL_LAMBDA_BUCKETS_ENCRYPTED_ROTATING,TRUE,UNSAT,All S3::Bucket declared in the template are encrypted and keep logs whenever they store lambda code,N/A
PASS,07_AKM_LOGS_STORED_ON_ENCRYPTED_BUCKETS,TRUE,UNSAT,All S3::Buckets known to store logs are encrypted,N/A
FAIL,08_EM_ALARM_ACTION,FALSE,UNSAT,There is no CloudWatch::Alarm that performs an action when triggered,N/A
FAIL,09_EM_CONFIG_RECORDER,FALSE,UNSAT,There is no Config::ConfigurationRecorder that is recording changes of all resource types,N/A
FAIL,10_EM_GLOBAL_SERVICES_TRAIL,FALSE,UNSAT,There is no CloudTrail::Trail that logs events from global services,N/A
PASS,11_EKM_SECURITYGROUP_ALL_PORTS_TO_ALL,FALSE,UNSAT,Either there are no EC2::SecurityGroups or there are some and they certainly do not open all ports to all,N/A
FAIL,12_EKM_SHARED_BY_MULTIPLE_POLICIES,UNKNOWN-TRUE,SAT/0,There are IAM::Users - pointed by this template - that might be shared by two or more policies,N/A
PASS,13_EKM_QUEUE_CRITICAL_NOT_ENCRYPTED,FALSE,UNSAT,If there are SQS::Queues receiving notifications from a bucket - they certainly are encrypted,N/A
PASS,14_AKM_LAMBDA_FAILED_INPUT_TO_ENCRYPTED,TRUE,UNSAT,Either there are no Lambda::Functions or they all send failed input to an encrypted resource,N/A
PASS,15_AKM_IAM_POLICIES_MUST_BE_ATTACHED_TO_SOMETHING,TRUE,UNSAT,Either there are no IAM::Policys or they are all attached to something,N/A
PASS,16_AKM_VPC_NO_DEFAULT_SECURITYGROUP,TRUE,UNSAT,Either there are not VPC::EC2 or there are some and they are all associated with a security group,N/A
PASS,17_AKM_KEYS_ENABLED,TRUE,UNSAT,All KMS::Keys are enabled,N/A
PASS,18_AKM_REPLICAS_ENCRYPTED,TRUE,UNSAT,Either there are no bucket replicas or they are all encrypted,N/A
PASS,19_AKM_LAMBDAS_ENCRYPTED,TRUE,UNSAT,Either there are no Lambda::Functions or they are all encrypted,N/A
PASS,20_EKM_SECURITYGROUP_OPENTOALL,FALSE,UNSAT,Either there are no EC2::SecurityGroups or there are some and they are certainly not open to all IPs,N/A
PASS,21_EKM_TRAIL_CARRYING_NOTHING,FALSE,UNSAT,Either there are no CloudTrail::Trails or there are some and they all certainly carry logs about data events,N/A
PASS,22_EKM_TRAIL_NO_LOGFILE_VALIDATION,FALSE,UNSAT,Either there are no CloudTrail::Trails or there are some and they all certainly have log file validation enabled,N/A
PASS,23_AKM_TRAIL_LOG,TRUE,UNSAT,Either there are no CloudTrail::Trails or there are some and they all certainly keep logs,N/A
PASS,24_EKM_TRAIL_NOT_ALL_REGIONS,FALSE,UNSAT,Either there are no CloudTrail::Trails or there are some and they all certainly log events from all regions,N/A
PASS,25_EKM_VOLUME_NOT_ENCRYPTED,FALSE,UNSAT,Either there are no EC2::Volumes or there are some and they are all certainly encrypted,N/A
PASS,26_EKM_INSTANCE_PUBLIC,FALSE,UNSAT,Either there are not EC2::Instances or there are some and they certainly do not allow public IPs,N/A
PASS,27_EKM_INSTANCE_USERDATA,FALSE,UNSAT,Either there are no EC2::Instances or they don't have user data on template,N/A
PASS,28_EKM_SECURITY_GROUP_OPEN_PORTS_SELF,FALSE,UNSAT,Either there are no EC2::SecurityGroups or there are some and  they certainly do not open all ports to self,N/A
