Pass/Fail,Property ID,True/False,Outcome,Outcome Description,Instances
FAIL,01_AM_BUCKETS_SHOULD_LOG,TRUE,SAT/0,If there are S3::Buckets - they might not keep logs,N/A
PASS,02_AKM_NO_BUCKETS_STORING_OWN_LOGS,TRUE,UNSAT,All S3::Buckets declared in this template do not store their own logs,N/A
PASS,03_AKM_BUCKET_STORING_LOGS_NOT_PUBLIC,TRUE,UNSAT,No bucket that store logs and is public can be found,N/A
FAIL,04_AKM_BUCKETS_ENCRYPTED,FALSE,SAT/+,There are S3::Buckets - declared in this template - that are not encrypted,(firstimpressions_cloud_creategifbucket - firstimpressions_cloud_createmobilevideobucket - firstimpressions_cloud_createthumbnailsbucket - firstimpressions_cloud_createwatermarkedbucket - firstimpressions_cloud_mediasourcebucket)
FAIL,05_AKM_BUCKET_NOT_PUBLIC_UNLESS_WEBSITE_OR_CORS,UNKNOWN-FALSE,SAT/0,None of the buckets declared in the template break this property - but there are buckets pointed by it for which the information is unknown,N/A
FAIL,06_AKM_CRITICAL_LAMBDA_BUCKETS_ENCRYPTED_ROTATING,UNKNOWN-FALSE,SAT/0,None of the S3::Buckets declared in the template breaks this property - but there are buckets pointed by the template for which this information is not known,N/A
PASS,07_AKM_LOGS_STORED_ON_ENCRYPTED_BUCKETS,TRUE,UNSAT,All S3::Buckets known to store logs are encrypted,N/A
FAIL,08_EM_ALARM_ACTION,FALSE,UNSAT,There is no CloudWatch::Alarm that performs an action when triggered,N/A
FAIL,09_EM_CONFIG_RECORDER,FALSE,UNSAT,There is no Config::ConfigurationRecorder that is recording changes of all resource types,N/A
FAIL,10_EM_GLOBAL_SERVICES_TRAIL,FALSE,UNSAT,There is no CloudTrail::Trail that logs events from global services,N/A
PASS,11_EKM_SECURITYGROUP_ALL_PORTS_TO_ALL,FALSE,UNSAT,If there are EC2::SecurityGroups - they certainly do not open all ports to all,N/A
PASS,12_EKM_SHARED_BY_MULTIPLE_POLICIES,FALSE,UNSAT,If there are IAM::Users - they are certainly not shared by two or more policies,N/A
PASS,13_EKM_QUEUE_CRITICAL_NOT_ENCRYPTED,FALSE,UNSAT,If there are SQS::Queues receiving notifications from a bucket - they certainly are encrypted,N/A
FAIL,14_AM_LAMBDA_FAILED_INPUT_TO_ENCRYPTED,TRUE,UNSAT,All Lambda::Functions send failed input to a non-encrypted resource or do not send it at all,N/A
PASS,15_AKM_IAM_POLICIES_MUST_BE_ATTACHED_TO_SOMETHING,TRUE,UNSAT,All IAM::Policys are attached to something,N/A
PASS,16_AKM_VPC_NO_DEFAULT_SECURITYGROUP,TRUE,UNSAT,All VPC::EC2 are associated with a security group,N/A
PASS,17_AKM_KEYS_ENABLED,TRUE,UNSAT,All KMS::Keys are enabled,N/A
FAIL,18_EM_KEY_FOR_REPLICA,FALSE,UNSAT,There is no KMS::Key used to encrypt buckets replicas,N/A
FAIL,19_EM_KEY_ENCR_FUNCTION,FALSE,UNSAT,There is no KMS::Key used to encrypt a Lambda::Function,N/A
FAIL,20_EM_SECURITYGROUP_OPENTOALL,FALSE,UNSAT,If there are EC2::SecurityGroups - they must be open to all IPs,N/A
FAIL,21_EM_LAMBDA_TRIGGERED_BUCKET,FALSE,SAT/0,There is no known Lambda::Function that is triggered by a bucket,N/A
PASS,22_EKM_TRAIL_CARRYING_NOTHING,FALSE,UNSAT,If there are CloudTrail::Trails - they all certainly carry logs about data events,N/A
PASS,23_EKM_TRAIL_NO_LOGFILE_VALIDATION,FALSE,UNSAT,If there are CloudTrail::Trails - they all certainly have log file validation enabled,N/A
PASS,24_AKM_TRAIL_LOG,TRUE,UNSAT,If there are CloudTrail::Trails - they all certainly keep logs,N/A
PASS,25_EKM_TRAIL_NOT_ALL_REGIONS,FALSE,UNSAT,If there are CloudTrail::Trails - they all certainly log events from all regions,N/A
FAIL,26_AM_VOLUME_NOT_ENCRYPTED,TRUE,UNSAT,All EC2::Volumes certainly are not-encrypted,N/A
PASS,27_EKM_INSTANCE_PUBLIC,FALSE,UNSAT,If there are EC2::Instances - they certainly do not allow public IPs,N/A
FAIL,28_EM_INSTANCE_USERDATA,FALSE,UNSAT,If there are EC2::Instances - they certainly have user data on template,N/A
PASS,29_EKM_SECURITY_GROUP_OPEN_PORTS_SELF,FALSE,UNSAT,If there are EC2::SecurityGroups - they certainly do not open all ports to self,N/A
FAIL,30_AM_SECURITYGROUP_UNUSED,TRUE,UNSAT,If there are EC2::SecurityGroups - they are all unused,N/A
FAIL,31_EM_LOADBALANCER_ACCESSLOGGINGPOLICY,FALSE,UNSAT,If there are ElasticLoadBalancing::LoadBalancer - they all have access logging policy disabled,N/A
FAIL,32_EM_LOADBALANCER_S3ACCESSLOGS,FALSE,UNSAT,There is no ElasticLoadBalancingv2::LoadBalancer with S3 Access Logs enabled,N/A
PASS,33_AKM_LOADBALANCER_DELETION_PROTECTED,TRUE,UNSAT,All ElasticLoadBalancingv2::LoadBalancers - if any - certainly have deletion protection enabled,N/A
PASS,34_AKM_LISTENER_NO_OLD_POLICIES,TRUE,UNSAT,All LoadBalancingV2::Listeners - if any - certainly do not use old SSL policies,N/A
FAIL,35_EM_GROUP_INLINE_POLICIES,FALSE,UNSAT,There is no IAM::Group with inline policies,N/A
PASS,36_AKM_GROUP_NO_USERS,TRUE,UNSAT,All IAM::Groups - if any - are linked to some user,N/A
PASS,37_AKM_USERS_PWDRESET,TRUE,UNSAT,All known IAM::Users have password reset required,N/A
PASS,38_EM_ROLE_INLINE_POLICIES,TRUE,SAT/+,There is at least one IAM::Role with inline policies,(firstimpressions_cloud_iamrolelambdaexecution)
FAIL,39_AM_USER_WITH_LOGINPROFILE,TRUE,UNSAT,All IAM::Users - if any - might have password in template,N/A
FAIL,40_EM_ACCESSKEY_ROTATING,FALSE,UNSAT,There is no IAM::User that is linked to a key that is rotating,N/A
PASS,41_AKM_USER_ONE_ACCESSKEY,TRUE,UNSAT,All IAM::Users have max one access key,N/A
FAIL,42_EM_USER_INLINE_POLICIES,FALSE,UNSAT,There is no IAM::User with inline policies,N/A
PASS,43_AKM_RDS_BACKUP,TRUE,UNSAT,All known RDS::DBInstances have backup retention different from 0,N/A
FAIL,44_AM_RDS_MINORUPGRADE_DISABLED,TRUE,UNSAT,All RDS::DBInstance must have auto minor upgrade disabled,N/A
PASS,45_AKM_RDS_SHORT_BACKUP,TRUE,UNSAT,All RDS::DBInstances - if any - certainly do not have short backup retention,N/A
FAIL,46_EM_DECLARED_RDS_ONEAZ,FALSE,UNSAT,All RDS::DBInstances are not replicated in different Availability Zones,N/A
PASS,47_AKM_RDS_ENCRYPTED,TRUE,UNSAT,All known RDS::DBInstances are encrypted,N/A
PASS,48_EKM_RDS_SECURITYGROUP_OPEN,FALSE,UNSAT,If there are RDS::DBinstances - they are certainly not linked to an open security group,N/A
FAIL,49_AKM_BUCKETS_VERSIONING,FALSE,SAT/+,There are S3::Buckets - declared in this template - that have versioning disabled,(firstimpressions_cloud_creategifbucket - firstimpressions_cloud_createmobilevideobucket - firstimpressions_cloud_createthumbnailsbucket - firstimpressions_cloud_createwatermarkedbucket - firstimpressions_cloud_mediasourcebucket)
PASS,50_EKM_VPC_OPEN_NETWORK_ACL,FALSE,UNSAT,If there are EC2::VPCs - they certainly do not have an open-to-all Network Acl,N/A
