Pass/Fail,Property ID,True/False,Outcome,Outcome Description,Instances
PASS,01_AM_BUCKETS_SHOULD_LOG,FALSE,SAT/+,There exist at least one S3::Buckets that keep logs,(retailmenotstackset_s3_configs3bucket - retailmenotstackset_s3_datas3bucket)
FAIL,02_AKM_NO_BUCKETS_STORING_OWN_LOGS,FALSE,SAT/+,There are S3::Buckets declared in this template that store their own logs,(retailmenotstackset_s3_configs3bucket)
PASS,03_AKM_BUCKET_STORING_LOGS_NOT_PUBLIC,TRUE,UNSAT,No bucket that store logs and is public can be found,N/A
FAIL,04_AKM_BUCKETS_ENCRYPTED,FALSE,SAT/+,There are S3::Buckets - declared in this template - that are not encrypted,(retailmenotstackset_s3_configs3bucket - retailmenotstackset_s3_datas3bucket)
PASS,05_AKM_BUCKET_NOT_PUBLIC_UNLESS_WEBSITE_OR_CORS,TRUE,UNSAT,No bucket that does not host a website or allow CORS and is public can be found,N/A
PASS,06_AKM_CRITICAL_LAMBDA_BUCKETS_ENCRYPTED_ROTATING,TRUE,UNSAT,All S3::Bucket declared in the template are encrypted and keep logs whenever they store lambda code,N/A
FAIL,07_AKM_LOGS_STORED_ON_ENCRYPTED_BUCKETS,FALSE,SAT/+,There are S3::Buckets in this template that store logs and are not encrypted,(retailmenotstackset_s3_configs3bucket)
PASS,08_EM_ALARM_ACTION,TRUE,SAT/+,There are CloudWatch::Alarms that certainly perform an action when triggered,(retailmenotstackset_enginetaskrunner_cpureservationtoohighalarm - retailmenotstackset_enginetaskrunner_memoryreservationtoohighalarm - retailmenotstackset_logs_tracebackindartlogalarm - retailmenotstackset_subscriptionworker_subscriptionqueuedepthhigh - retailmenotstackset_subscriptionworker_subscriptionqueuedepthlow - retailmenotstackset_web_cpualarmhigh - retailmenotstackset_web_cpualarmlow)
FAIL,09_EM_CONFIG_RECORDER,FALSE,UNSAT,There is no Config::ConfigurationRecorder that is recording changes of all resource types,N/A
FAIL,10_EM_GLOBAL_SERVICES_TRAIL,FALSE,UNSAT,There is no CloudTrail::Trail that logs events from global services,N/A
PASS,11_EKM_SECURITYGROUP_ALL_PORTS_TO_ALL,FALSE,UNSAT,If there are EC2::SecurityGroups - they certainly do not open all ports to all,N/A
PASS,12_EKM_SHARED_BY_MULTIPLE_POLICIES,FALSE,UNSAT,If there are IAM::Users - they are certainly not shared by two or more policies,N/A
PASS,13_EKM_QUEUE_CRITICAL_NOT_ENCRYPTED,FALSE,UNSAT,If there are SQS::Queues receiving notifications from a bucket - they certainly are encrypted,N/A
FAIL,14_AM_LAMBDA_FAILED_INPUT_TO_ENCRYPTED,TRUE,UNSAT,All Lambda::Functions send failed input to a non-encrypted resource or do not send it at all,N/A
PASS,15_AKM_IAM_POLICIES_MUST_BE_ATTACHED_TO_SOMETHING,TRUE,UNSAT,All IAM::Policys are attached to something,N/A
PASS,16_AKM_VPC_NO_DEFAULT_SECURITYGROUP,TRUE,UNSAT,All VPC::EC2 are associated with a security group,N/A
PASS,17_AKM_KEYS_ENABLED,TRUE,UNSAT,All KMS::Keys are enabled,N/A
FAIL,18_EM_KEY_FOR_REPLICA,FALSE,UNSAT,There is no KMS::Key used to encrypt buckets replicas,N/A
FAIL,19_EM_KEY_ENCR_FUNCTION,FALSE,UNSAT,There is no KMS::Key used to encrypt a Lambda::Function,N/A
PASS,20_EM_SECURITYGROUP_OPENTOALL,TRUE,SAT/+,There is at least one EC2::SecurityGroup that is certainly not open to all IPs,(retailmenotstackset_elb_elbsecuritygroup - retailmenotstackset_elbinternal_elbsecuritygroup - retailmenotstackset_enginetaskrunner_securitygroup - retailmenotstackset_engineworker_securitygroup - retailmenotstackset_rds_securitygroup - retailmenotstackset_subscriptionworker_securitygroup - retailmenotstackset_triggerworker_securitygroup - retailmenotstackset_web_securitygroup)
FAIL,21_EM_LAMBDA_TRIGGERED_BUCKET,FALSE,UNSAT,There is no Lambda::Function triggered by a bucket,N/A
PASS,22_EKM_TRAIL_CARRYING_NOTHING,FALSE,UNSAT,If there are CloudTrail::Trails - they all certainly carry logs about data events,N/A
PASS,23_EKM_TRAIL_NO_LOGFILE_VALIDATION,FALSE,UNSAT,If there are CloudTrail::Trails - they all certainly have log file validation enabled,N/A
PASS,24_AKM_TRAIL_LOG,TRUE,UNSAT,If there are CloudTrail::Trails - they all certainly keep logs,N/A
PASS,25_EKM_TRAIL_NOT_ALL_REGIONS,FALSE,UNSAT,If there are CloudTrail::Trails - they all certainly log events from all regions,N/A
FAIL,26_AM_VOLUME_NOT_ENCRYPTED,TRUE,UNSAT,All EC2::Volumes certainly are not-encrypted,N/A
PASS,27_EKM_INSTANCE_PUBLIC,FALSE,UNSAT,If there are EC2::Instances - they certainly do not allow public IPs,N/A
